Word,alternate-spellings,transliteration,Gloss,Strongs,frequency
"ἀγωνία, -ας, ἡ",,agōnia,"agony, anguish, contest",74,1
ἀγωνίζομαι,,agōnizomai,"contend, struggle, strive",75,7
"Ἀδάμ, ὁ",,Adam,Adam,76,9
"ἀδάπανος, -ον",,adapanos,"free, free of charge, without expense",77,1
"Ἀδδί, ὁ",Ἀδδεί,Addi,Addi,78,1
"ἀδελφή, -ῆς, ἡ",,adelphē,сестра,79,25
"ἀδελφός, -ου, ὁ",,adelphos,брат,80,343
"ἀδελφότης, -ητος, ἡ",,adelphotēs,brotherhood,81,2
"ἄδηλος, -ον",,adēlos,"unseen, indistinct, not obvious",82,2
"ἀδηλότης, -ητος, ἡ",,adēlotēs,uncertainty,83,1
ἀδήλως,,adēlōs,"uncertainly, out of sight",84,1
ἀδημονέω,,adēmoneō,"distressed, troubled",85,3
"ᾍδης, -ου, ὁ",Ἅδης,Adēs,ад,86,10
"ἀδιάκριτος, -ον",,adiakritos,"unwavering, unambiguous",87,1
"ἀδιάλειπτος, -ον",,adialeiptos,"unceasing, constant, incessant",88,2
ἀδιαλείπτως,,adialeiptōs,"constantly, unceasingly",89,4
"ἀδιαφθορία, -ας, ἡ",,adiaphthoria,"incorruptibility, soundness, integrity",90,1
ἀδικέω,,adikeō,"причинять зло, вредить, обижать",91,28
"ἀδίκημα, -τος, τό",,adikēma,"wrong, injury, misdeed, crime",92,3
"ἀδικία, -ας, ἡ",,adikia,"неправедность, зло, грех",93,26
"ἄδικος, -ον",,adikos,"неправедный, несправедливый, неверный",94,12
ἀδίκως,,adikōs,unjustly,95,2
"Ἀδμίν, ὁ",,Admin,"Admin, Aram",,1
"ἀδόκιμος, -ον",,adokimos,"not passing the test, rejected, unreputable (metaphorical)",96,8
"ἄδολος, -ον",,adolos,"pure, genuine, unadulterated",97,1
"Ἀδραμυττηνός, -ή, -όν",,Adramuttēnos,of Adramyttium,98,1
"Ἀδρίας, -ου, ὁ",,Adrias,Adriatic Sea,99,1
"ἁδρότης, -ητος, ἡ",,adrotēs,"abundance, lavishness",100,1
ἀδυνατέω,,adunateō,"be unable, be impossible",101,2
"ἀδύνατος, -ον",,adunatos,"слабый, бессильный; невозможный",102,10
ᾄδω,,adō,sing,103,5
ἀεί,,aei,"always, ever, unceasingly",104,7
"ἀετός, -οῦ, ὁ",,aetos,"eagle, vulture, bird of prey",105,5
"ἄζυμος, -ον",,azumos,"unleavened, paschal feast, uncorrupted",106,9
"Ἀζώρ, ὁ",,Azōr,Azor,107,2
"Ἄζωτος, -ου, ἡ",,Azōtos,"Azotus, Ashdod",108,1
"ἀήρ, -ος, ὁ",,aēr,air,109,7
αθά,,atha,come,3134,1
"ἀθανασία, -ας, ἡ",,athanasia,immortality,110,3
"ἀθέμιτος, -ον",,athemitos,"unlawful, forbidden, disgusting, illegal",111,2
"ἄθεος, -ον",,atheos,"without God, godless",112,1
"ἄθεσμος, -ον",,athesmos,"lawless, unprincipled",113,2
ἀθετέω,,atheteō,"отказывать, отвергать, расторгать",114,16
"ἀθέτησις, -εως, ἡ",,athetēsis,"setting aside, annulment, nullification, abrogation",115,2
"Ἀθῆναι, -ῶν, ἡ",,Athēnai,Athens,116,4
"Ἀθηναῖος, -α, -ον",,Athēnaios,Athenian,117,2
ἀθλέω,,athleō,compete,118,2
"ἄθλησις, -εως, ἡ",,athlēsis,"contest, conflict",119,1
ἀθροίζω,,athroizō,"collect, gather together",,1
ἀθυμέω,,athumeō,"be discouraged, disheartened, lose heart",120,1
"ἀθῷος, -ον",,athōos,"innocent, guiltless",121,2
"αἴγειος, -α, -ον",,aigeios,of a goat,122,1
"Αἰγεύς, -ος, ὁ",,Aigeus,Aegeus,,
"αἰγιαλός, -οῦ, ὁ",,aigialos,"seashore, beach, sea-coast",123,6
"Αἰγύπτιος, -α, -ον",,Aiguptios,Egyptian,124,5
"Αἴγυπτος, -ου, ἡ",Ἔγυπτος,Aiguptos,Египет,125,24
"ἀΐδιος, -ον",,aidios,"eternal, everlasting",126,2
"αἰδώς, -οῦς, ἡ",,aidōs,"modesty, shame",127,2
"Αἰθίοψ, -οπος, ὁ",,Aithiops,Ethiopian,128,2
"αἴλουρος, -ος, ὁ",,ailouros,cat,,
"αἷμα, -τος, τό",,aima,кровь,129,99
"αἱματεκχυσία, -ας, ἡ",,aimatekchusia,shedding of blood,130,1
αἱμορροέω,,aimorroeō,"bleed, suffer with hemorrhage, experience loss of blood",131,1
"Αἰνέας, -ου, ὁ",,Aineas,Aeneas,132,2
"αἴνεσις, -εως, ἡ",,ainesis,praise,133,1
αἰνέω,,aineō,praise,134,9
"αἴνιγμα, -τος, τό",,ainigma,"riddle, enigma",135,1
"αἶνος, -ου, ὁ",,ainos,praise,136,2
"Αἰνών, ἡ",,Ainōn,Aenon,137,1
"αἴξ, -ος, ὁ",,aix,goat,,
"αἵρεσις, -εως, ἡ",,airesis,"choice, faction, party, sect, self-chosen opinion",139,9
αἱρετίζω,,airetizō,choose,140,1
"αἱρετικός, -ή, -όν",,airetikos,"factious, heretical, causing division",141,1
αἱρέω,,aireō,"choose, prefer",138,3
αἴρω,,airō,"поднимать, убирать, уничтожать",142,100
αἰσθάνομαι,,aisthanomai,"notice, perceive, understand",143,1
"αἴσθησις, -εως, ἡ",,aisthēsis,"perception, discernment",144,1
"αἰσθητήριον, -ου, τό",,aisthētērion,"faculty of perception, sense, perceptive faculty",145,1
αἰσχροκερδής,,aischrokerdēs,"greedy of base gain, avaricious, greedy",146,3
αἰσχροκερδῶς,,aischrokerdōs,"in fondness for dishonest gain, greedily",147,1
"αἰσχρολογία, -ας, ἡ",,aischrologia,"obscene speech, dirty talk, filthy speech",148,1
"αἰσχρός, -ά, -όν",,aischros,"shameful, base, disgraceful","150, 149",4
"αἰσχρότης, -ητος, ἡ",,aischrotēs,"shamefulness, obscenity, filthiness, indecency, baseness",151,1
"αἰσχύνη, -ης, ἡ",,aischunē,shame,152,6
αἰσχύνομαι,,aischunomai,"dishonor, put to shame, fell ashamed, am ashamed, am put to shame",153,5
αἰτέω,,aiteō,"просить, требовать, молиться",154,71
"αἴτημα, -τος, τό",,aitēma,"request, petition",155,3
"αἰτία, -ας, ἡ",,aitia,"причина, вина, обвинение",156,20
"αἴτιος, -α, -ον",,aitios,"cause, responsible for, crime, fault","159, 158",5
"αἰτίωμα, -τος, τό",,aitiōma,"charge, complaint, accusation",157,1
"αἰφνίδιος, -ον",,aiphnidios,"sudden, unexpected",160,2
"αἰχμαλωσία, -ας, ἡ",,aichmalōsia,"captivity, host of captives",161,2
αἰχμαλωτεύω,,aichmalōteuō,"capture, lead captive, take captive",162,2
αἰχμαλωτίζω,,aichmalōtizō,"take or lead captive, take captive, subdue, ensnare",163,4
"αἰχμάλωτος, -ου, ὁ",,aichmalōtos,"captive, prisoner",164,1
"αἰών, -ῶνος, ὁ",,aiōn,"век, вечность",165,126
"αἰώνιος, -ον",,aiōnios,вечный,166,70
"ἀκαθαρσία, -ας, ἡ",,akatharsia,"нечистота, порочность",167,10
"ἀκάθαρτος, -ον",,akathartos,нечистый,"168, 169",31
ἀκαιρέομαι,,akaireomai,"have no opportunity, am without a suitable opportunity",170,1
ἀκαίρως,,akairōs,"untimely, unseasonably",171,1
"ἄκακος, -ον",,akakos,"guileless, innocent, simple",172,2
"ἄκανθα, -ης, ἡ",,akantha,"терновник, колючее растение, колючка",173,14
"ἀκάνθινος, -η, -ον",,akanthinos,"of thorns, thorny, made of thorns",174,2
"ἄκαρπος, -ον",,akarpos,"unfruitful, barren",175,7
"ἀκατάγνωστος, -ον",,akatagnōstos,"beyond reproach, uncondemned, unimpeachable",176,1
"ἀκατακάλυπτος, -ον",,akatakaluptos,"uncovered, not veiled, unveiled",177,2
"ἀκατάκριτος, -ον",,akatakritos,"uncondemned, without trial",178,2
"ἀκατάλυτος, -ον",,akatalutos,"indissoluble, that cannot be broken up, endless, indestructible, perpetual",179,1
"ἀκατάπαυστος, -ον",,akatapaustos,"unceasing, restless, not abandoning",180,1
"ἀκαταστασία, -ας, ἡ",,akatastasia,"distrurbance, disorder, tumult, disturbance, upheaval, revolution",181,5
"ἀκατάστατος, -ον",,akatastatos,"unstable, restless, unsettled",182,1
"ἀκατάσχετος, -ον",,akataschetos,"unrestrainable, unruly, untamable",183,1
"Ἁκελδαμάχ, ",Ἀκελδαμά,Akeldamach,"Akeldama, Hakeldama",184,1
"ἀκέραιος, -ον",,akeraios,"unmixed, pure, innocent, simple, unsophisticated",185,3
ἀκλινής,,aklinēs,"without wavering, unbent, unyielding, resolute",186,1
ἀκμάζω,,akmazō,"bloom, ripen, reach maturity, become ripe",187,1
"ἀκμήν, ἡ",,akmēn,"even yet, still, even now",188,1
"ἀκοή, -ῆς, ἡ",,akoē,"слух, молва, слушание",189,24
ἀκολουθέω,,akoloutheō,"следовать, сопровождать",190,90
ἀκούω,,akouō,"слушать, слушаться",191,436
"ἀκρασία, -ας, ἡ",,akrasia,"lack of self-control, self-indulgence, incontinence, intemperance, lack of restraint",192,2
ἀκρατής,,akratēs,"without self-control, dissolute, lacking self-control, inclined to excess",193,1
"ἄκρατος, -ον",,akratos,"unmixed, undiluted",194,1
"ἀκρίβεια, -ας, ἡ",,akribeia,"exactness, precision, strictness, accuracy",195,1
ἀκριβέστατος,,akribestatos,"most exact, strict",196,1
ἀκριβής,,akribēs,"exact, precise",,
ἀκριβόω,,akriboō,"ascertain precisely, examine carefully, inquire strictly","198, 196",2
ἀκριβῶς,,akribōs,"точно, тщательно, достоверно","199, 197, 196",10
"ἀκρίς, -ίδος, ἡ",,akris,locust,200,4
"ἀκροατήριον, -ου, τό",,akroatērion,"auditorium, audience hall, recitation hall, court room",201,1
"ἀκροατής, -οῦ, ὁ",,akroatēs,"hearer, hearer of, listener to",202,4
"ἀκροβυστία, -ας, ἡ",,akrobustia,"необрезанная крайняя плоть, язычники",203,20
"ἀκρογωνιαῖος, -α, -ον",,akrogōniaios,"corner, cornerstone, capstone, in the corner",204,2
"ἀκροθίνιον, -ου, τό",,akrothinion,"booty, spoils, plunder, spoil, treasure",205,1
"ἄκρον, -ου, τό",,akron,"high point, boundary, end, extremity",206,6
"ἄκρος, -α, -ον",,akros,"top, top of",,
"Ἀκύλας, ὁ",,Akulas,Aquila,207,6
ἀκυρόω,,akuroō,"revoke, invalidate, annul, make of no effect",208,3
ἀκωλύτως,,akōlutōs,"without hindrance, freely",209,1
ἄκων,,akōn,unwilling,210,1
"ἀλάβαστρον, -ου, τό",,alabastron,"alabaster jar, vase for holding perfume",211,4
"ἀλαζονεία, -ας, ἡ",,alazoneia,"pretension, arrogance, boasting, show, arrogant display",212,2
"ἀλαζών, -ονος, ὁ",,alazōn,"impostor, boaster",213,2
ἀλαλάζω,,alalazō,"cry aloud, wail loudly, clanging or clashing cymbal",214,2
"ἀλάλητος, -ον",,alalētos,"inexpressible, unutterable",215,1
"ἄλαλος, -ον",,alalos,"speechless, mute, unable to speak",216,3
"ἅλας, -ατος, τό",,alas,salt,217,9
ἀλείφω,,aleiphō,anoint,218,9
"ἀλεκτοροφωνία, -ας, ἡ",,alektorophōnia,"crowing of a rooster, cockcrow",219,1
"ἀλέκτωρ, -ορος, ὁ",,alektōr,петух,220,12
"Ἀλεξανδρεύς, -έως, ὁ",,Alexandreus,Alexandrian,221,2
"Ἀλεξανδρῖνος, -η, -ον",,Alexandrinos,Alexandrian,222,2
"Ἀλέξανδρος, -ου, ὁ",,Alexandros,Alexander,223,6
"Ἀλέξιος, ὁ",,Alexios,Alexios,,
"ἄλευρον, -ου, τό",,aleuron,"wheat flour, meal, flour",224,2
"ἀλήθεια, -ας, ἡ",,alētheia,истина,225,109
ἀληθεύω,,alētheuō,"speak the truth, say, speak truth, do truth",226,2
ἀληθής,,alēthēs,"истинный, верный, подлинный",227,26
"ἀληθινός, -ή, -όν",,alēthinos,"настоящий, истинный, верный",228,28
ἀλήθω,,alēthō,grind,229,2
ἀληθῶς,,alēthōs,истинно,230,21
"ἁλιεύς, -έως, ὁ",,alieus,fisherman,231,5
ἁλιεύω,,alieuō,fish,232,1
ἁλίζω,,alizō,"salt, sprinkle with salt",233,2
"ἀλίσγημα, -τος, τό",,alisgēma,"pollution, defilement",234,1
ἀλλά,ἀλλ᾽,alla,"но, однако",235,639
ἀλλάσσω,,allassō,"change, alter",236,6
ἀλλαχόθεν,,allachothen,"at another place, by another way, from another quarter",237,1
ἀλλαχοῦ,,allachou,elsewhere,,1
ἀλληγορέω,,allēgoreō,speak allegorically,238,1
ἁλληλουϊά,,allēlouia,"hallelujah, praise Yahweh, praise the Lord",239,4
ἀλλήλων,,allēlōn,друг друга,240,100
"ἀλλογενής, -η, -ο",,allogenēs,"foreigner, stranger",241,1
ἅλλομαι,,allomai,"leap, spring up, bubble up",242,3
"ἄλλος, -η, -ο",,allos,другой,243,159
"ἀλλοτριοεπίσκοπος, -ου, ὁ",,allotrioepiskopos,"busybody, meddler in another's affairs",244,1
"ἀλλότριος, -α, -ον",,allotrios,"чужой, иной, чужак, враг",245,15
"ἀλλόφυλος, -ον",,allophulos,"alien, foreign",246,1
ἄλλως,,allōs,otherwise,247,1
ἀλοάω,,aloaō,thresh,248,3
"ἄλογος, -ον",,alogos,"without reason, absurd, unreasonable, senseless",249,3
"ἀλόη, -ης, ἡ",,aloē,aloes,250,1
"ἅλς, ὁ",,als,salt,251,1
"ἁλυκός, -ή, -όν",,alukos,"salty, saltine, bitter",252,1
ἄλυπος,,alupos,"without pain, free from sorry or anxiety",253,1
"ἅλυσις, -εως, ἡ",,alusis,цепь,254,11
ἀλυσιτελής,,alusitelēs,"unprofitable, profitless",255,1
"ἄλφα, τό",,alpha,"Alpha, first letter of the Greek alphabet",1,3
"Ἁλφαῖος, -ου, ὁ",,Alphaios,Alphaeus,256,5
"ἅλων, -ος, ἡ",,alōn,"threshing floor, smooth flattened area for grinding grain",257,2
"ἀλώπηξ, -εκος, ἡ",,alōpēx,fox,258,3
"ἅλωσις, -εως, ἡ",,alōsis,"capture, taking, capturing",259,1
ἅμα,,ama,"вместе, вместе с",260,10
ἀμαθής,,amathēs,"ignorant, unlearned, uncivilised",261,1
"Ἀμαθής, -οῦ, ὁ",,Amathēs,Amittai,,
"ἅμαξα, -ας, ἡ",,amaxa,"wagon, wheeled vehicle",,
"ἀμαράντινος, -η, -ον",,amarantinos,"unfading, fadeless",262,1
"ἀμάραντος, -ον",,amarantos,"unfading, permanent",263,1
ἁμαρτάνω,,amartanō,грешить,264,42
"ἁμάρτημα, -τος, τό",,amartēma,"sin, fault, evil deed",265,4
"ἁμαρτία, -ας, ἡ",,amartia,грех,266,173
"ἀμάρτυρος, -ον",,amarturos,"without witness, untestified to",267,1
"ἁμαρτωλός, -ου, ὁ",,amartōlos,грешник,268,48
"ἄμαχος, -ον",,amachos,"uncontentious, peaceable, not quarrelsome",269,2
ἀμάω,,amaō,"harvest, collect, reap",270,1
"ἀμέθυστος, ἡ",,amethustos,amethyst,271,1
ἀμέλγω,,amelgō,"milk (an animal), soak up (moisture), soak up (sun)",,
ἀμελέω,,ameleō,"neglect, be unconcerned",272,4
"ἄμεμπτος, -ον",,amemptos,blameless,273,5
ἀμέμπτως,,amemptōs,blamelessly,274,2
"ἀμέριμνος, -ον",,amerimnos,"free from care, free from anxiety",275,2
"ἀμετάθετος, -ον",,ametathetos,"unchangeable, unchanged",276,2
"ἀμετακίνητος, -ον",,ametakinētos,"immovable, firm",277,1
"ἀμεταμέλητος, -ον",,ametamelētos,"without regret, not to be repented of",278,2
"ἀμετανόητος, -ον",,ametanoētos,unrepentant,279,1
"ἄμετρος, -ον",,ametros,"immeasurable, not measurable",280,2
ἀμήν,,amēn,"аминь, воистину так, верно",281,134
ἀμήτωρ,,amētōr,"without a mother, whose mother's name is not recorded or known",282,1
"ἀμίαντος, -ον",,amiantos,"undefiled, untainted",283,4
"Ἀμιναδάβ, ὁ",,Aminadab,Amminadab,284,3
"ἄμμος, -ου, ἡ",,ammos,sand,285,5
"ἀμνός, -οῦ, ὁ",,amnos,lamb,286,4
"ἀμοιβή, -ῆς, ἡ",,amoibē,"return, recompense, change, exchange",287,1
"ἄμπελος, -ου, ἡ",,ampelos,vine,288,9
"ἀμπελουργός, -οῦ, ὁ",,ampelourgos,"vinedresser, gardener, vine-dresser",289,1
"ἀμπελών, -ῶνος, ὁ",,ampelōn,виноградник,290,23
"Ἀμπλίας, -ου, ὁ",,Amplias,Ampliatus,291,1
"Ἀμπλιᾶτος, -ου, ὁ",,Ampliatos,Ampliatus,,1
ἀμύνομαι,,amunomai,"help, defend",292,1
ἀμφιβάλλω,,amphiballō,cast,,1
"ἀμφίβληστρον, -ου, τό",,amphiblēstron,"fishing net, net used for capturing",293,2
ἀμφιέζω,,amphiezō,clothe,,1
ἀμφιέννυμι,,amphiennumi,"clothe, dress, put on",294,4
"Ἀμφίπολις, -εως, ἡ",,Amphipolis,Amphipolis,295,1
"ἄμφοδον, -ου, τό",,amphodon,"street, quarter, block",296,1
"ἀμφότεροι, -αι, -α",,amphoteroi,"оба, оба из двух, все",297,14
"ἀμώμητος, -ον",,amōmētos,"blameless, without blame or fault",298,2
"ἄμωμον, -ου, τό",,amōmon,"amomum, a type of spice",,1
"ἄμωμος, -ον",,amōmos,"without blemish, blameless",299,7
"Ἀμών, ὁ",,Amōn,Amon,300,2
"Ἀμώς, ὁ",,Amōs,Amos,301,3
ἄν,,an,частица выражающая условность: бы,302,174
ἀνά,,ana,"среди, между; по (+цифры)",303,15
"ἀναβαθμός, -οῦ, ὁ",,anabathmos,"step, stairway, flight of stairs, flight of steps",304,2
ἀναβαίνω,,anabainō,подниматься,305,80
ἀναβάλλω,,anaballō,"postpone, defer",306,1
ἀναβιβάζω,,anabibazō,"bring up, draw up",307,1
ἀναβλέπω,,anablepō,"смотреть вверх, прозревать",308,26
"ἀνάβλεψις, -εως, ἡ",,anablepsis,recovery of sight,309,1
ἀναβοάω,,anaboaō,"cry out, shout upwards, raise my voice",310,3
"ἀναβολή, -ῆς, ἡ",,anabolē,"postponement, delay, putting off",311,1
"ἀνάγαιον, -ου, τό",ἀνώγαιον,anagaion,upper room,,2
ἀναγγέλλω,,anaggellō,"объявить, сообщать, проповедовать",312,18
ἀναγεννάω,,anagennaō,"beget again, cause to be born again, beget into a new life",313,2
ἀναγινώσκω,,anaginōskō,читать,314,33
ἀναγκάζω,,anagkazō,"force, compel, urge",315,9
"ἀναγκαῖος, -α, -ον",,anagkaios,"necessary, essential",316,8
ἀναγκαστῶς,,anagkastōs,"under compulsion, by force, necessarily",317,1
"ἀνάγκη, -ης, ἡ",,anagkē,"необходимость, нужда, лишения",318,17
ἀναγνωρίζω,,anagnōrizō,"make known to again, make to be recognized",319,1
"ἀνάγνωσις, -εως, ἡ",,anagnōsis,reading,320,3
ἀνάγω,,anagō,"возносить, возводить",321,24
ἀναδείκνυμι,,anadeiknumi,"show clearly, reveal, appoint, show forth, proclaim",322,2
"ἀνάδειξις, -εως, ἡ",,anadeixis,"commissioning, installation, public appearance, proclamation of an appointment",323,1
ἀναδέχομαι,,anadechomai,"undertake, receive, welcome, receive kindly",324,2
ἀναδίδωμι,,anadidōmi,"deliver, hand over, send up",325,1
ἀναζάω,,anazaō,"live again, be resurrected, come to life again, revive",326,2
ἀναζητέω,,anazēteō,"look, search, seek out, search for",327,3
ἀναζώννυμι,,anazōnnumi,"bind up, gird up, brace up",328,1
ἀναζωπυρέω,,anazōpureō,"rekindle, kindle afresh, kindle into flame, stir up the fire, fan the flame of",329,1
ἀναθάλλω,,anathallō,"grow up again, revive, thrive or flourish again",330,1
"ἀνάθεμα, -τος, τό",,anathema,"accursed, curse, opposite of consecrated",331,6
ἀναθεματίζω,,anathematizō,"curse, put under an oath or curse, invoke curses",332,4
ἀναθεωρέω,,anatheōreō,"observe carefully, examine, consider, look at attentively",333,2
"ἀνάθημα, -τος, τό",,anathēma,"votive offering, offering dedicated by a worshipper",334,1
"ἀναίδεια, -ας, ἡ",,anaideia,"shamelessness, shameless persistence",335,1
"ἀναίρεσις, -εως, ἡ",,anairesis,"murder, killing, putting to death, slaying",336,1
ἀναιρέω,,anaireō,"губить, убивать, отменять, подбирать",337,24
"ἀναίτιος, -ον",,anaitios,"innocent, guiltless",338,2
ἀνακαθίζω,,anakathizō,sit up,339,2
ἀνακαινίζω,,anakainizō,"renew, restore",340,1
ἀνακαινόω,,anakainoō,"renew, amend, change",341,2
"ἀνακαίνωσις, -εως, ἡ",,anakainōsis,"renewal, renewing",342,2
ἀνακαλύπτω,,anakaluptō,"uncover, unveil",343,2
ἀνακάμπτω,,anakamptō,"turn back, return",344,4
ἀνάκειμαι,,anakeimai,"возлежать (за столом), быть гостем",345,15
ἀνακεφαλαιόω,,anakephalaioō,"sum up, recapitulate, summarize, gather up in one",346,2
ἀνακλίνω,,anaklinō,"lay upon, lay down, lie back, make to recline, recline at a table",347,6
ἀνακράζω,,anakrazō,"cry out, shout aloud",349,5
ἀνακρίνω,,anakrinō,"исследовать, оценивать, допрашивать",350,16
"ἀνάκρισις, -εως, ἡ",,anakrisis,"investigation, examination, judicial examination, preliminary inquiry",351,1
ἀνακυλίω,,anakuliō,roll away,,
ἀνακύπτω,,anakuptō,"straighten up, stand erect, raise myself, look up",352,4
ἀναλαμβάνω,,analambanō,"поднимать, брать",353,13
"ἀνάλημψις, -εως, ἡ",,analēmpsis,ascension,,1
"ἀνάληψις, -εως, ἡ",,analēpsis,"taking up, lifting up",354,1
ἀναλίσκω,,analiskō,"destroy, consume, annihilate",355,3
"ἀναλογία, -ας, ἡ",,analogia,"proportion, measure",356,1
ἀναλογίζομαι,,analogizomai,"consider, think upon, consider attentively",357,1
"ἄναλος, -ον",,analos,"without salt, saltless, tasteless, flat",358,1
"ἀνάλυσις, -εως, ἡ",,analusis,"departure, departing, departure from this life",359,1
ἀναλύω,,analuō,"loose, depart, return",360,2
"ἀναμάρτητος, -ον",,anamartētos,"without sin, without blame, faultless",361,1
ἀναμένω,,anamenō,"wait for, expect, await",362,1
ἀναμιμνῄσκω,,anamimnēskō,"remind, remember",363,6
"ἀνάμνησις, -εως, ἡ",,anamnēsis,"remembrance, reminder, recalling, memory",364,4
ἀνανεόω,,ananeoō,"renew, become young again, renew",365,1
ἀνανήφω,,ananēphō,"regain one's senses, become sober again, recover sound sense",366,1
"Ἁνανίας, -ου, ὁ",,Ananias,Анания,367,11
